PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2510172358,10,100,P00053,05.04.2017,20341,2543,0,0,0,0,0,0,12.5,0,0,0,25973.34,3089.34,INR,,,,,MH14CP 2472,,,
2540131774,10,80,P00054,05.04.2017,23961.6,2995,0,0,0,0,0,0,12.5,0,0,0,30595.74,3639.14,INR,,,,,MH14CP 2472,,,
2540131761,10,20,P00055,05.04.2017,14641.4,1830,0,0,0,0,0,0,12.5,0,0,0,18695.04,2223.64,INR,,,,,MH14CP 2472,,,
2510172330,10,20,P00056,05.04.2017,7599.8,950,0,0,0,0,0,0,12.5,0,0,0,9704.02,1154.22,INR,,,,,MH14CP 2472,,,
2540131769,10,150,P00057,05.04.2017,43131,5391,0,0,0,0,0,0,12.5,0,0,0,55072.47,6550.47,INR,,,,,MH14CP 2472,,,
2540131775,10,25,P00058,05.04.2017,18252.5,2282,0,0,0,0,0,0,12.5,0,0,0,23306.66,2772.16,INR,,,,,MH14CP 2472,,,
2510172347,10,40,P00059,05.04.2017,4606.8,576,0,0,0,0,0,0,12.5,0,0,0,5882.48,699.68,INR,,,,,MH14CP 2472,,,
2540131762,10,60,P00060,05.04.2017,13551.6,1694,0,0,0,0,0,0,12.5,0,0,0,17303.76,2058.16,INR,,,,,MH14CP 2472,,,
2510172350,10,18,P00061,05.04.2017,29287.62,3661,0,0,0,0,0,0,12.5,0,0,0,37396.68,4448.06,INR,,,,,MH14 CP2472,,,
2530005879,10,900,P00064,05.04.2017,5040,630,0,0,0,0,0,0,12.5,0,0,0,6435.45,765.45,INR,,,,,,,,
2540136041,10,138,P00065,05.04.2017,1439.34,180,0,0,0,0,0,0,12.5,0,0,0,1837.95,218.61,INR,,,,,,,,
2540131755,10,3953,P00066,05.04.2017,583620.92,72953,0,0,0,0,0,0,12.5,0,0,0,745211.4,88637.48,INR,,,,,,,,
2540131756,10,2037,P00067,05.04.2017,301557.48,37695,0,0,0,0,0,0,12.5,0,0,0,385051.56,45799.08,INR,,,,,,,,
2540131757,10,1050,P00068,05.04.2017,173586,21698,0,0,0,0,0,0,12.5,0,0,0,221647.34,26363.34,INR,,,,,,,,
2510172309,10,2082,P00069,05.04.2017,91170.78,11396,0,0,0,0,0,0,12.5,0,0,0,116413.3,13846.52,INR,,,,,,,,
2540131758,10,240,P00070,05.04.2017,4596,574,0,0,0,0,0,0,12.5,0,0,0,5867.95,697.95,INR,,,,,,,,
2540131759,10,1052,P00071,05.04.2017,21103.12,2638,0,0,0,0,0,0,12.5,0,0,0,26946.17,3205.05,INR,,,,,,,,
2540131760,10,750,P00072,05.04.2017,30300,3788,0,0,0,0,0,0,12.5,0,0,0,38689.88,4601.88,INR,,,,,,,,
2510172313,10,111,P00073,05.04.2017,1832.61,229,0,0,0,0,0,0,12.5,0,0,0,2339.93,278.32,INR,,,,,,,,
2540131761,10,2825,P00074,05.04.2017,114130,14266,0,0,0,0,0,0,12.5,0,0,0,145729.46,17333.46,INR,,,,,,,,
2540131329,10,2048,P00075,05.04.2017,124846.08,15606,0,0,0,0,0,0,12.5,0,0,0,159413.11,18961.03,INR,,,,,,,,
2540131762,10,3757,P00076,05.04.2017,47413.34,5927,0,0,0,0,0,0,12.5,0,0,0,60541.29,7200.95,INR,,,,,,,,
2510172317,10,1679,P00077,05.04.2017,56447.98,7056,0,0,0,0,0,0,12.5,0,0,0,72077.02,8573.04,INR,,,,,,,,
2510172318,10,2056,P00078,05.04.2017,51235.52,6404,0,0,0,0,0,0,12.5,0,0,0,65420.86,7781.34,INR,,,,,,,,
2540136043,10,191,P00079,05.04.2017,3185.88,398,0,0,0,0,0,0,12.5,0,0,0,4067.7,483.82,INR,,,,,,,,
2540136045,10,140,P00080,05.04.2017,644,80,0,0,0,0,0,0,12.5,0,0,0,821.74,97.74,INR,,,,,,,,
